"","DomestiCAT_Aruba_501","DomestiCAT_Aruba_502","DomestiCAT_Aruba_503","DomestiCAT_Aruba_504","DomestiCAT_Aruba_505","DomestiCAT_Aruba_506","DomestiCAT_Aruba_507","DomestiCAT_Aruba_508","DomestiCAT_Aruba_509","DomestiCAT_Aruba_510","DomestiCAT_Aruba_511","DomestiCAT_Aruba_512","DomestiCAT_Aruba_513","DomestiCAT_Aruba_514","DomestiCAT_Aruba_515","DomestiCAT_Aruba_516","DomestiCAT_Brazil_501","DomestiCAT_Brazil_502","DomestiCAT_Brazil_503","DomestiCAT_Brazil_504","DomestiCAT_Brazil_505","DomestiCAT_Brazil_506","DomestiCAT_Brazil_507","DomestiCAT_Brazil_508","DomestiCAT_Brazil_509","DomestiCAT_Brazil_510","DomestiCAT_Brazil_511","DomestiCAT_Brazil_512","DomestiCAT_Brazil_513","DomestiCAT_Brazil_514","DomestiCAT_Brazil_515","DomestiCAT_Brazil_516","DomestiCAT_CaboVerde_501","DomestiCAT_CaboVerde_502","DomestiCAT_CaboVerde_503","DomestiCAT_CaboVerde_504","DomestiCAT_CaboVerde_505","DomestiCAT_CaboVerde_506","DomestiCAT_CaboVerde_507","DomestiCAT_CaboVerde_508","DomestiCAT_CaboVerde_509","DomestiCAT_CaboVerde_510","DomestiCAT_CaboVerde_511","DomestiCAT_CaboVerde_512","DomestiCAT_CaboVerde_513","DomestiCAT_CaboVerde_514","DomestiCAT_CaboVerde_515","DomestiCAT_Denmark_10","DomestiCAT_Denmark_11","DomestiCAT_Denmark_12","DomestiCAT_Denmark_13","DomestiCAT_Denmark_14","DomestiCAT_Denmark_15","DomestiCAT_Denmark_16","DomestiCAT_Denmark_1","DomestiCAT_Denmark_2","DomestiCAT_Denmark_3","DomestiCAT_Denmark_4","DomestiCAT_Denmark_5","DomestiCAT_Denmark_6","DomestiCAT_Denmark_7","DomestiCAT_Denmark_8","DomestiCAT_Denmark_9","DomestiCAT_Denmark_blank","DomestiCAT_Malaysia_501","DomestiCAT_Malaysia_502","DomestiCAT_Malaysia_503","DomestiCAT_Malaysia_504","DomestiCAT_Malaysia_505","DomestiCAT_Malaysia_506","DomestiCAT_Malaysia_507","DomestiCAT_Malaysia_508","DomestiCAT_Malaysia_509","DomestiCAT_Malaysia_510","DomestiCAT_Malaysia_511","DomestiCAT_Malaysia_512","DomestiCAT_Malaysia_513","DomestiCAT_Malaysia_514","DomestiCAT_Malaysia_515","DomestiCAT_Spain_501","DomestiCAT_Spain_502","DomestiCAT_Spain_503","DomestiCAT_Spain_504","DomestiCAT_Spain_505","DomestiCAT_Spain_506","DomestiCAT_Spain_507","DomestiCAT_Spain_508","DomestiCAT_Spain_509","DomestiCAT_Spain_510","DomestiCAT_Spain_511","DomestiCAT_Spain_512","DomestiCAT_Spain_514","DomestiCAT_Spain_515","DomestiCAT_Spain_516"
"bin_Aruba.10",0.00144903338236809,0.043513276829963,0.0316285903444992,0,0.00963592542130554,0.00891355005106267,0.0135400842324326,0.0536337724993976,0.00531002281677894,0.00829785504763244,0,0,0.0693908365257803,0.00186343970416928,0.00814429636910807,0.0102746796817219,0.00543264415990857,0.00882274398136825,0.000701198149029595,0.00301501866080739,0.0011149406511112,0.00155047737859353,0.0370164273300952,0.0491777824216922,0.0903670344039992,0.00303382878366922,0.0126840726031618,0.000926087280409988,0.089808612075301,0.0238515380417437,0.0232660435153711,0.0120485014740013,0.00682305091429178,0.0178645200590939,0,0.0157194744560286,0.00369139979618426,0.0173262906896742,0.0192005186864473,0.0128719854186278,0.00748385517452654,0.00786522741278528,0.00662232889760504,0.0202167069261301,0.00934325763936543,0.000382801078013116,0.00530999677512332,0,0.0130291245694216,0.0313633818804223,0.0180585987023951,0.00395840339381433,0.00218171127870201,0.0072752878080699,0.00778649014891752,0.0879120058090052,0.000220038695256519,0.00653374045823346,0.0203106631316588,0.0225724440383408,0.0132699990135664,0.00363394021026294,0.0100742197384308,0,0,0.0309504242676694,0.0273598259230579,0.00669939835177695,0.0558468192964971,0.0127068710531962,0.00204049534575877,0.00462781679555871,0.0576566655779717,0.00127680118013355,0.0107111206739913,0.00491579842879235,0.00933654516500442,0.0157431428129421,0.00893158817320119,0.0276161639083079,0.0185676953525365,0.0364733616298328,0.0227185183492376,0.0110274829476226,0.000865524639861893,0.0103537420629381,0.00851631627473285,0.00287977515351072,0.0196487676212212,0.00143243823649589,0.000763665322249559,0.0146993235583324,0.00130471590460597,0.00238608788075733
"bin_Aruba.11",0,0,0,0,0,0,0,0,0.00279315795117472,0,0,0,0.00643782153641215,0.145359949089321,0.091109948351679,0,0,0,0,0,0,0.000296745844936807,7.95562697031527e-05,0,0,0.00018415006287543,0.000270809926326347,0,0,9.31821622332474e-05,0,9.33950175267379e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101110927217996,0.000147352070710891,0.000125336394841422,0.000135894935971065,0.000181725965009703,0.000225638628937483,0.000137546723397692,0,0,0,0,0,0,0.000221259996295755,0.000151438858739811,0,0,0.000475243149952869,0,0,0.000260176421563605,0,0,0,0,0.000200240155281194,0,0,0,0.000351304113672199,0,0,0,0,0.000231110767889499,0.000131452149497515,0,0,0,0,0,0.000453217296103214,0,0,0.000578076340117982,0
"bin_Aruba.13",0.000543338431712372,0.00669437849711598,0,0,0,0.00111626958509034,0,0,0.00238113665955887,0,0,0,0.0204501980965705,0,0,0,0.00624711537722215,0.0177986150627248,0.00882638129874667,0.0027190229332228,0,0.000877616645020085,0.00552547447602662,0.00326636720642106,0.00147133082807239,0.00630225734263011,0.00028862747927459,0.00161629066034867,0.00114162174683904,0.00356033448301452,0.0019811574548637,0.00767570036434493,0,0,0,0,0,0,0.00133341492432876,0,0,0,0,0,0.00459387238971059,0,0,0.000347106372879979,0.000699136173209979,0.00159850814301518,0.000168901005272698,0.000307109791525384,0.000801041198396288,7.14436794600914e-05,0.00358537247608763,0.000398327028672565,0.000920770171583562,0.0047509492754962,0.00349156573134205,0.015111745696994,0.000705408925674965,0.000266823751521614,0.0020035947278316,0,0.00164948021111949,0.00343803088066213,0,0,0.00147138486483716,0.00164997293409063,0,0.00596871483674264,0.00770173905301768,0.000252633806607034,0.00622213414944384,0.0113014292742246,0.00647641749326713,0.0024781585153708,0.0100431967172722,0.00298097112506197,0.00785891527255056,0.000540555270728834,0.000465669077556059,0.00641749815361999,0.00148742039710763,0.00986420899284378,0.0240379924412002,0.00336272476461956,0.00746714934970631,0.00848837873149795,0.000936788994187028,0.00660778511998915,0.000289153708599033,0.00258188082389995
"bin_Aruba.14",0.00254455616857871,0.0117871711113734,0.0148000635265839,0,0.0159260921390348,0.0124532408601235,0.0135815932235617,0.0158104821415462,0.0481885163751113,0.0172113120602143,0,0.00860324173247987,0.00709119960523095,0.00401406354649563,0.0114205805346627,0.00776292296946456,0.00441748623341778,0.011475930138174,0.00322434804436815,0.00208670955319469,0,0.0258046542570142,0.0123593857820648,0.00185108892201983,0.00120457204309004,0.0246923673999778,0.0241349805368672,0.0129085967344468,0.00235914912401547,0.00859715538093636,0.00227915538990706,0.0117984833856056,0.00368542849326981,0.0130919759903707,0,0.00307816608844481,0.0281027067023375,0.015641695709819,0.000877921013316255,0.00542781609834918,0.00545346386191735,0.0173077978376012,0.00248853349596707,0.00711547258784002,0.0261221520630467,0.000278022013873041,0.00380999606704259,0.0176266971386435,0.00683023262549435,0.00508441922822223,0.0119038603422091,0.0620239644030093,0.0246253632650722,0.00658138063298512,0.0321955735460284,0.00652515622896465,0.00766575021915041,0.0100193879614018,0.0299855143932806,0.00265040594514522,0.0225896308427242,0.0298663240542092,0.00486761388396765,0,0.0233297519528266,0.0305822317521628,0.01360969069595,0.00679027232259491,0.00482403360736158,0.043775861162888,0.0214557808955863,0.0109709859130333,0.0226460323544454,0.0498993568906967,0.00844222297981594,0.00297298087770711,0.00981405011209498,0.011996812974035,0.0189294316719747,0.00295353606232092,0.00542653587380174,0.000547605284183184,0.00403314900052684,0.00513269984364934,0.0123644894913945,0.0114002087089869,0.0129214773394473,0.0198342137419657,0.0045394990250205,0.00535519699907096,0.00282190137776311,0.0111280934467926,0.0067148660738758,0.0184182795700567
"bin_Aruba.15",0.00720655455215961,0,0.0265869637703514,0.0236968126119129,0,0.0100899147301306,0,0.00181186936511148,0.000118795858368839,0,0.021445536514299,0.0235115033656676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108935038014665,0,0.0535037481563256,0,0,0,0.00257013132720824,0,0.000284711139543019,0.0189914727764385,0,0,0,0.0046939624977758,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23571689963077e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259568426429392,0,0,0,0,0,0,0,0,0,0,0,0.000170567910826239,0,0,6.11026818498708e-05,0,0,0,0,0
"bin_Aruba.18",0.000946924562846824,0.00575800045968617,0.0200947326624677,0.0682674125615579,0,0.000749617444020143,0.00967239200899182,0,0.036404978391241,0,0,0,0.0035641450086709,0,0.0357410293238457,0,0,0.000124857396254852,0.000124090106028274,0,0.00722430504384131,0.000575686240824328,0,0.000158408430028483,0.000118981224552981,0,0.000152767660098779,0,0.000100706663469403,0,0,8.96102308899742e-05,0,0.00167055124198542,0.0169518085841856,0.0160013326982281,0.00228594256031371,0,0.000380717295330662,0.00449214847952627,0.00582060082577479,0.00291961634998564,0.00295743329036289,0.00186837908606222,0.000362617342667359,0.000238978705704699,0,0.000338697421534156,0.003009490096247,0,0,0.000471321293720687,7.69400974309193e-05,0,0.000225860272807696,0,0.00078379639203904,0.0933276590742261,0.00016813965180797,0.0276011266507182,0,0.0555131440250562,0.0434412874504987,0,0,0,0,0,0.000793652838565996,0,0,0,0,0,0,0.0245171974621113,0,0,0,0,0,0.000499516758161384,0,0.000709722379141147,0.000151900841852661,0.000181050326799358,0,0.000289310862927487,0.000112864992324589,0.0168988470258329,0.00168865648527081,0.000172933389380807,0.000101973561764206,0.000389795193541376
"bin_Aruba.2",0.0077885139665612,0.0146084134681298,0.0502643877315676,0.015907564602245,0.020536281656489,0.043834228828797,0.0421821303831099,0.035591407913985,0.168053492425637,0.0132939966086582,0.036593481784936,0.0588798128654523,0.00159028240813777,0.00596398983325589,0.0305848731871043,0.0201716735213926,0,0,0,0,0.0172410176191121,0.0652756557068208,0.000127518261591555,0,0,0.000287857754806583,0.00188946109334484,0,0.000130398144047181,0.000606388928160115,0,6.60498729833605e-05,0,0.0061778408858497,0.158424710435426,0.00029118450517905,0.00306225415764686,0,0.000243204940753584,0.00410683091874459,0.0334920332605179,0.0511725521228763,0.0107995498060729,0.0010836011270848,0.000273439486193218,0.000155051990244013,0,0.00226667857260348,0.00564953727465656,0.0740200749803159,0.045667457038885,0.00077992046140831,0.00843764290311229,0.0601104819309782,0.00578043123051805,0.001194925344715,0,0,0,0,0,0.0530593752652286,0.0655697081697633,0,0.0653202653168214,0.000415762108389445,0.0161183063061707,0.00355207348938171,0.0691215764748598,0.0332825946302169,0.0202573442715354,0.011815589613155,0.00929237840712503,0.033298511994998,0.00750339992012826,0.00108843670468771,0.000590843020929994,0.00232770138748246,0.0129003201254562,0.0468579593949664,0.0411155075167527,0.00218685720180739,0.0955492362323353,0.0847226342677798,0.00218037298523387,0.00298472618162045,0.00180942007256873,0.00412660929497738,0.00236235071865854,0.0551923949851725,0.00203536302582232,0.00190127786343597,0.110420521583569,0.00274913463997247
"bin_Aruba.21",0.000967781807663028,0.0117887015512823,0.0300868786823237,0,0.0273869361084736,0.0849456289916126,0.0364655554617193,0.00482940494512122,0.000467683749410695,0,0.052260802413213,0.0212242633277289,0,0.452971774481604,0.0127139521513894,0.00589708402989886,0,0.000359150573336684,0.000195300907458358,0,0,0.000802956002799548,0.000341166580906609,0.00014768140956744,0,0.000726904495949979,0.000816745184083765,0.000303755687184854,9.78191298148807e-05,0.000388458943580842,0,0.000324434127775035,0,0.000358277163403996,0,0,0.00217845511925391,0,0,0,0,0,0.000263766865808089,0,0.000322474287093329,0,0,0.000595969631759045,0.000351760411910508,0.000239532455061646,0.000313043308681562,0.00115573882095328,0.000812190333586889,0.000410258801077479,0.00088362172062151,0.000284007367835723,0.000433322359581224,0.000320274436055524,0.000755771324419341,0.000231264363989931,0.000403502234414167,0.00123409567545539,0.000319969731245515,0,0.00115262955097166,0.000489574192758803,0,0,0.000448684039308149,0.000672601804371156,0.00235466717941738,0.00143764249917057,0.00161332386188652,0.00124278562933442,0,0,0.000275033676643563,0.000550138165361973,0,0.000110146305603566,0,0,0.000249317031124736,0.000343260323604894,0.000258745242260314,0.000366420187469233,0.000257641597621368,0.000738122719681765,0.000192190162762912,0.000559146816430969,0,0.000284961887105578,0.000553442975312012,0.000439036339009836
"bin_Aruba.25",0.0012263726175803,0.00868537598021597,0.0202732537111854,0,0,0.00437566430311247,0.0125727674757591,0.00726247185138591,0.0517020784339211,0,0,0.0140560426755957,0.00818328308159763,0.00312319837310178,0.00882560518950726,0,0.000674143928594683,0.000168414228672793,9.18966339433971e-05,0.00022625095281032,0.338875799215909,0.0015215621095582,0.00013391665319949,0,0.000852317324922135,0.000126571437912123,0.000355277600038848,0.000191127894113341,0.000167596155321505,0.0111387085982236,9.33211029773712e-05,0.000104280643250404,0.00299004994628606,0.00323734766510487,0.0103432326231082,0.00309270309827765,0.00707120554892965,0,0.00115600559050368,0.00687435002831341,0.00650866293519102,0.00847520455058057,0.0880433703623445,0.00257138701770547,0.000830505021492898,0.000205641765187711,0.00196059706219594,0.000407430465988298,0.000299078839602806,0.0395955020273076,0.111466559001417,0.00813036152071029,0.00540436909927352,0.00945182477555589,0.000341874197640902,5.10797377489071e-05,0,0,0,0,0,0.00317732729379145,0.00338501455075853,0,0.00197409181238573,0,0,0,0.00157938336083648,0.057380538212033,0,0,0,0.00116117520184276,0.0145792094370788,0,0.000456198278996359,0.000467932771925116,0,0.0343301615388474,0.0101722664151398,0.000350190785944837,0.00231758278855615,0.00702015291241546,0.000495433064840997,0.00126665412374311,0.00104093105184717,0.00081717218084582,0.000534969960395949,0.00183233376534572,0.002007063263524,0.000416984718820583,0.00483160232118997,0.000514796397193543
"bin_Aruba.28",0.000693138416101937,0,0,0,0,0,0,0.00155982846687665,0.0121417536910741,0,0,0,0,0,0,0,0.000860258133195144,0.00142864417841017,0.00051787109282587,0.000545927678859171,0,0.000154744598829318,0.000918865639867589,0.00154487702280382,0.00233444817494854,0.010183328506924,0.0005336585738269,0.00456888988765632,0.0028248240003838,0.00524850143188544,0.00356166142919075,0.00347590084288065,0,0,0,0,0,0,0,0,0,0,0,0,0.0011078935551349,0,0,0,0.000927287888004034,0.000776397400704591,0.00176259893657011,6.22507686390087e-05,0.000252205657275647,0.00142253920379211,0.00107723701476266,0.000359639342652899,0.000783609827068171,0.000395603767827433,0.000201054225861205,0.000600550037472101,0.000136896195768523,0,0.00164169811755313,0,0.00219111223184574,0.000725930694003571,0.00888711121434941,0,0.00150851896866271,0.00134201078367283,0,0.00360409192894644,0.00405375553967853,0.000618779956661652,0,0,0.00234468774781106,0.0010914417737014,0,0.00208565247395774,0.00246466763301565,0.0108277326434539,0.00126194634037922,0.002332671837471,0.000404257203733558,0.000998873552680675,0.00357744489801369,0.00164088679849742,0.0041084533290764,0.000332821798885516,0.00159429302205058,0.000620476881164845,0.00049106532809888,0.0007280927320465
