Genome	DomestiCAT_Aruba-501 Length	DomestiCAT_Aruba-502 Length	DomestiCAT_Aruba-503 Length	DomestiCAT_Aruba-504 Length	DomestiCAT_Aruba-505 Length	DomestiCAT_Aruba-506 Length	DomestiCAT_Aruba-507 Length	DomestiCAT_Aruba-508 Length	DomestiCAT_Aruba-509 Length	DomestiCAT_Aruba-510 Length	DomestiCAT_Aruba-511 Length	DomestiCAT_Aruba-512 Length	DomestiCAT_Aruba-513 Length	DomestiCAT_Aruba-514 Length	DomestiCAT_Aruba-515 Length	DomestiCAT_Aruba-516 Length	DomestiCAT_Brazil-501 Length	DomestiCAT_Brazil-502 Length	DomestiCAT_Brazil-503 Length	DomestiCAT_Brazil-504 Length	DomestiCAT_Brazil-505 Length	DomestiCAT_Brazil-506 Length	DomestiCAT_Brazil-507 Length	DomestiCAT_Brazil-508 Length	DomestiCAT_Brazil-509 Length	DomestiCAT_Brazil-510 Length	DomestiCAT_Brazil-511 Length	DomestiCAT_Brazil-512 Length	DomestiCAT_Brazil-513 Length	DomestiCAT_Brazil-514 Length	DomestiCAT_Brazil-515 Length	DomestiCAT_Brazil-516 Length	DomestiCAT_CaboVerde-501 Length	DomestiCAT_CaboVerde-502 Length	DomestiCAT_CaboVerde-503 Length	DomestiCAT_CaboVerde-504 Length	DomestiCAT_CaboVerde-505 Length	DomestiCAT_CaboVerde-506 Length	DomestiCAT_CaboVerde-507 Length	DomestiCAT_CaboVerde-508 Length	DomestiCAT_CaboVerde-509 Length	DomestiCAT_CaboVerde-510 Length	DomestiCAT_CaboVerde-511 Length	DomestiCAT_CaboVerde-512 Length	DomestiCAT_CaboVerde-513 Length	DomestiCAT_CaboVerde-514 Length	DomestiCAT_CaboVerde-515 Length	DomestiCAT_Denmark_10 Length	DomestiCAT_Denmark_11 Length	DomestiCAT_Denmark_12 Length	DomestiCAT_Denmark_13 Length	DomestiCAT_Denmark_14 Length	DomestiCAT_Denmark_15 Length	DomestiCAT_Denmark_16 Length	DomestiCAT_Denmark_1 Length	DomestiCAT_Denmark_2 Length	DomestiCAT_Denmark_3 Length	DomestiCAT_Denmark_4 Length	DomestiCAT_Denmark_5 Length	DomestiCAT_Denmark_6 Length	DomestiCAT_Denmark_7 Length	DomestiCAT_Denmark_8 Length	DomestiCAT_Denmark_9 Length	DomestiCAT_Denmark_blank Length	DomestiCAT-Malaysia-501 Length	DomestiCAT-Malaysia-502 Length	DomestiCAT-Malaysia-503 Length	DomestiCAT-Malaysia-504 Length	DomestiCAT-Malaysia-505 Length	DomestiCAT-Malaysia-506 Length	DomestiCAT-Malaysia-507 Length	DomestiCAT-Malaysia-508 Length	DomestiCAT-Malaysia-509 Length	DomestiCAT-Malaysia-510 Length	DomestiCAT-Malaysia-511 Length	DomestiCAT-Malaysia-512 Length	DomestiCAT-Malaysia-513 Length	DomestiCAT-Malaysia-514 Length	DomestiCAT-Malaysia-515 Length	DomestiCAT-Malaysia-516 Length	DomestiCAT_Spain-501 Length	DomestiCAT_Spain-502 Length	DomestiCAT_Spain-503 Length	DomestiCAT_Spain-504 Length	DomestiCAT_Spain-505 Length	DomestiCAT_Spain-506 Length	DomestiCAT_Spain-507 Length	DomestiCAT_Spain-508 Length	DomestiCAT_Spain-509 Length	DomestiCAT_Spain-510 Length	DomestiCAT_Spain-511 Length	DomestiCAT_Spain-512 Length	DomestiCAT_Spain-513 Length	DomestiCAT_Spain-514 Length	DomestiCAT_Spain-515 Length	DomestiCAT_Spain-516 Length
bin_Denmark.62	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339	2680339
bin_Aruba.47	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762	1644762
bin_Aruba.25	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199	2043199
bin_Brazil.158	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036	1864036
bin_Brazil.65	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881	2116881
bin_Malaysia.16	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179	1842179
bin_Brazil.104	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722	1119722
bin_Malaysia.84	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169	1364169
bin_Spain.4	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334	2713334
bin_Brazil.177	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671	1921671
